iter	Passed	Remaining
721	1131	435
722	1133	434
723	1134	432
724	1136	431
725	1138	429
726	1140	428
727	1141	426
728	1143	424
729	1144	423
730	1146	421
731	1147	420
732	1149	418
733	1151	417
734	1152	415
735	1154	413
736	1155	412
737	1157	410
738	1158	409
739	1159	407
740	1161	405
741	1162	404
742	1164	402
743	1165	401
744	1167	399
745	1168	397
746	1170	396
747	1171	394
748	1173	393
749	1174	391
750	1175	389
751	1177	388
752	1178	386
753	1180	385
754	1182	383
755	1183	382
756	1185	380
757	1186	378
758	1187	377
759	1189	375
760	1190	373
761	1192	372
762	1193	370
763	1194	369
764	1196	367
765	1198	366
766	1200	364
767	1201	362
768	1203	361
769	1205	359
770	1206	358
771	1208	356
772	1209	355
773	1211	353
774	1212	352
775	1214	350
776	1216	349
777	1217	347
778	1219	346
779	1221	344
780	1222	342
781	1224	341
782	1225	339
783	1227	338
784	1228	336
785	1230	334
786	1231	333
787	1232	331
788	1234	330
789	1235	328
790	1237	326
791	1238	325
792	1240	323
793	1241	322
794	1243	320
795	1244	318
796	1246	317
797	1247	315
798	1248	314
799	1250	312
800	1251	310
801	1253	309
802	1254	307
803	1256	306
804	1257	304
805	1258	303
806	1260	301
807	1261	299
808	1263	298
809	1264	296
810	1265	295
811	1267	293
812	1269	291
813	1270	290
814	1272	288
815	1273	287
816	1274	285
817	1276	283
818	1277	282
819	1279	280
820	1281	279
821	1282	277
822	1284	276
823	1285	274
824	1286	272
825	1288	271
826	1289	269
827	1291	268
828	1292	266
829	1294	265
830	1295	263
831	1297	261
832	1298	260
833	1299	258
834	1301	257
835	1302	255
836	1304	253
837	1305	252
838	1306	250
839	1308	249
840	1309	247
841	1311	246
842	1312	244
843	1314	242
844	1315	241
845	1317	239
846	1318	238
847	1320	236
848	1321	235
849	1322	233
850	1324	231
851	1325	230
852	1327	228
853	1328	227
854	1330	225
855	1331	223
856	1332	222
857	1334	220
858	1335	219
859	1337	217
860	1338	216
861	1340	214
862	1341	212
863	1342	211
864	1344	209
865	1345	208
866	1347	206
867	1348	205
868	1349	203
869	1351	201
870	1352	200
871	1354	198
872	1355	197
873	1357	195
874	1358	194
875	1360	192
876	1361	190
877	1363	189
878	1364	187
879	1365	186
880	1367	184
881	1368	183
882	1370	181
883	1371	180
884	1373	178
885	1374	176
886	1376	175
887	1377	173
888	1379	172
889	1380	170
890	1382	169
891	1383	167
892	1385	165
893	1386	164
894	1388	162
895	1389	161
896	1390	159
897	1392	158
898	1393	156
899	1395	155
900	1396	153
901	1398	151
902	1399	150
903	1401	148
904	1403	147
905	1404	145
906	1406	144
907	1407	142
908	1409	141
909	1410	139
910	1412	137
911	1413	136
912	1415	134
913	1416	133
914	1417	131
915	1419	130
916	1420	128
917	1422	127
918	1423	125
919	1425	123
920	1426	122
921	1428	120
922	1429	119
923	1430	117
924	1432	116
925	1433	114
926	1434	112
927	1436	111
928	1437	109
929	1439	108
930	1440	106
931	1442	105
932	1443	103
933	1444	102
934	1446	100
935	1447	98
936	1449	97
937	1450	95
938	1452	94
939	1453	92
940	1455	91
941	1456	89
942	1458	88
943	1459	86
944	1460	85
945	1462	83
946	1463	81
947	1464	80
948	1466	78
949	1468	77
950	1469	75
951	1470	74
952	1472	72
953	1473	71
954	1474	69
955	1476	67
956	1477	66
957	1479	64
958	1480	63
959	1482	61
960	1483	60
961	1485	58
962	1486	57
963	1487	55
964	1489	54
965	1490	52
966	1492	50
967	1493	49
968	1495	47
969	1496	46
970	1498	44
971	1499	43
972	1501	41
973	1502	40
974	1503	38
975	1505	37
976	1506	35
977	1508	33
978	1509	32
979	1510	30
980	1512	29
981	1514	27
982	1515	26
983	1517	24
984	1518	23
985	1520	21
986	1521	20
987	1522	18
988	1524	16
989	1525	15
990	1526	13
991	1528	12
992	1530	10
993	1531	9
994	1533	7
995	1534	6
996	1535	4
997	1537	3
998	1538	1
999	1540	0
