iter	TotalF1	MultiClass
368	0.9976853916	0.129648637
369	0.9976853916	0.1292832641
370	0.9976853916	0.1288190266
371	0.9976853916	0.1284755207
372	0.9976853916	0.1280030107
373	0.9976853916	0.1278145919
374	0.9976853916	0.1273518068
375	0.9976853916	0.1268645474
376	0.9976853916	0.1264196172
377	0.9976853916	0.125721961
378	0.9976853916	0.1252396178
379	0.9976853916	0.1249623368
380	0.9976853916	0.124774581
381	0.9976853916	0.124491475
382	0.9976853916	0.124167126
383	0.9976853916	0.1236662184
384	0.9976853916	0.1230485431
385	0.9976853916	0.1228578868
386	1	0.1225798618
387	1	0.1222529413
388	1	0.1218534751
389	1	0.1215100478
390	1	0.1210771053
391	1	0.1207646893
392	1	0.1201373721
393	1	0.119680783
394	1	0.1193074133
395	1	0.119060517
396	1	0.1186463692
397	1	0.1183354921
398	1	0.1179363553
399	1	0.1176468195
400	1	0.1171035725
401	1	0.1167912969
402	1	0.1163804007
403	1	0.1160897856
404	1	0.1154941708
405	1	0.1150246663
406	1	0.1146673819
407	1	0.1145046432
408	1	0.1142034447
409	1	0.113864567
410	1	0.1135223413
411	1	0.1133225618
412	1	0.1131284661
413	1	0.1125916369
414	1	0.1124181924
415	1	0.1121390355
416	1	0.1118711498
417	1	0.1115144029
418	1	0.1111427297
419	1	0.1109317063
420	1	0.1106828808
421	1	0.1104435236
422	1	0.1098883874
423	1	0.1096175344
424	1	0.1091372569
425	1	0.1088050261
426	1	0.1084344574
427	1	0.1081693702
428	1	0.1080959045
429	1	0.1077554165
430	1	0.1074445993
431	1	0.107168862
432	1	0.1065846106
433	1	0.1064234952
434	1	0.1061914411
435	1	0.1060641756
436	1	0.1057656778
437	1	0.1055096864
438	1	0.1050785853
439	1	0.1049493656
440	1	0.1046127364
441	1	0.1042916036
442	1	0.1040547452
443	1	0.1038864726
444	1	0.1037297961
445	1	0.103384365
446	1	0.103147008
447	1	0.1029932215
448	1	0.1026334991
449	1	0.1025252106
450	1	0.1022585616
451	1	0.1019465205
452	1	0.1016631885
453	1	0.1012879205
454	1	0.1010645422
455	1	0.1007579446
456	1	0.1005652909
457	1	0.1003400091
458	1	0.09995197707
459	1	0.09976608714
460	1	0.09941808618
461	1	0.09909798289
462	1	0.09871021417
463	1	0.09844115774
464	1	0.09817678038
465	1	0.09787574341
466	1	0.09762744822
467	1	0.09737841462
468	1	0.09712607726
469	1	0.09690465613
470	1	0.09657499979
471	1	0.09629761701
472	1	0.09606862684
473	1	0.09572222214
474	1	0.09543782735
475	1	0.09520531199
476	1	0.09485083216
477	1	0.09468439262
478	1	0.09440533285
479	1	0.09412397616
480	1	0.09402616347
481	1	0.09388862962
482	1	0.09366247213
483	1	0.09320959239
484	1	0.09306136442
485	1	0.09283055559
486	1	0.09265767003
487	1	0.09245904168
488	1	0.09228039672
489	1	0.09205139233
490	1	0.09193576746
491	1	0.09168125047
492	1	0.09137573551
493	1	0.091166955
494	1	0.09083242468
495	1	0.09066829719
496	1	0.09038404859
497	1	0.09014491026
498	1	0.08995617769
499	1	0.08963693813
500	1	0.08932977062
501	1	0.0890736198
502	1	0.08877696982
503	1	0.08852861202
504	1	0.08829878056
505	1	0.08813263283
506	1	0.08786076341
507	1	0.08770887918
508	1	0.08754922682
509	1	0.08731771984
510	1	0.0871263481
511	1	0.08699945923
512	1	0.08668097704
513	1	0.08647011184
514	1	0.08626738333
515	1	0.0859642562
516	1	0.08581640219
517	1	0.08549192109
518	1	0.08536635857
519	1	0.08516075468
520	1	0.084856067
521	1	0.0845585183
522	1	0.0843569137
523	1	0.08415738109
524	1	0.08395429655
