date,time,team2,score1,score2
12.02.2018,17:45,Университет ИТМО,1.0,4.0
20.02.2018,19:30,СПбГАУ,6.0,4.0
01.03.2018,16:00,ГУМРФ,1.0,5.0
08.03.2018,15:00,СПбГЭУ,2.0,7.0
14.03.2018,16:30,УГПС МЧС,4.0,5.0
19.03.2018,18:45,СПбГУПТД,3.0,2.0
29.03.2018,17:30,НГУ им. П.Ф. Лесгафта,4.0,9.0
02.04.2018,19:00,ВКА им. Можайского,3.0,3.0
09.04.2018,19:00,СПбГЛТУ,14.0,2.0
05.03.2021,20:30,Университет ГПС МЧС России,1.0,2.0
12.03.2021,17:30,Университет ИТМО,3.0,2.0
19.03.2021,19:00,НГУ им. П.Ф. Лесгафта,4.0,6.0
26.03.2021,17:30,СПбГЭТУ «ЛЭТИ»,3.0,4.0
02.04.2021,19:00,Горный университет,4.0,0.0
03.04.2021,14:30,ГУМРФ,4.0,3.0
09.04.2021,17:30,СПбГЭУ,2.0,0.0
16.04.2021,17:30,СПбГАСУ,4.0,1.0
23.04.2021,16:00,СПбГУПТД,3.0,5.0
11.10.2020,16:30,Горный университет,4.0,0.0
17.10.2020,13:30,СПбГЛТУ,3.0,0.0
24.10.2020,16:30,СПбГАСУ,1.0,0.0
15.05.2024,21:20,Авангард,3.0,4.0
24.05.2024,21:20,Кировец-ГУТИД,3.0,4.0
31.05.2024,21:20,СТД Петрович,2.0,0.0
05.06.2024,21:00,РВЧеллендж,0.0,5.0
12.06.2024,21:20,ВЕЗУ,4.0,0.0
21.06.2024,19:30,Звезда,0.0,1.0
26.06.2024,21:20,СШОР №1 - Кристалл - Константиновское,1.0,4.0
05.07.2024,19:00,Динамо-2,1.0,1.0
12.07.2024,21:00,Нева-Максима,4.0,2.0
17.07.2024,21:00,Авангард,4.0,2.0
22.07.2024,21:00,Кировец-ГУТИД,0.0,2.0
29.08.2024,20:00,СТД Петрович,3.0,3.0
04.09.2024,19:30,РВЧеллендж,0.0,3.0
13.09.2024,21:20,ВЕЗУ,1.0,6.0
20.09.2024,21:20,Звезда,0.0,3.0
25.09.2024,21:20,СШОР №1 - Кристалл - Константиновское,0.0,0.0
04.10.2024,19:30,Динамо-2,1.0,5.0
11.10.2024,21:20,Нева-Максима,0.0,3.0
30.09.2023,15:00,Форсаж-Нева,0.0,6.0
08.10.2023,13:10,СШОР №2 Невского района-3,1.0,3.0
21.10.2023,12:00,СШОР №2 Невского района-2,0.0,0.0
22.10.2023,14:20,Невские звёзды,10.0,1.0
12.12.2021,17:30,ФК Звезда,1.0,2.0
14.12.2021,20:00,Кировец-Восхождение-мол.,2.0,2.0
18.12.2021,17:30,СШОР №1 Московского района-юн. 2005,4.0,2.0
23.12.2021,21:30,ГУТИД,0.0,0.0
16.01.2022,13:00,Антарес,2.0,7.0
22.01.2022,10:00,Алмаз-Антей-мол.,1.0,7.0
30.01.2022,16:00,СШ №2 ВО Звезда-мол.,2.0,2.0
06.02.2022,20:30,Самсон,0.0,2.0
13.02.2022,13:00,Адмиралтеец-мол.,9.0,1.0
06.03.2022,11:30,СТД Петрович,3.0,1.0
20.11.2022,13:30,Локомотив-ИТМО,1.0,9.0
27.11.2022,13:30,СШОР Лидер - 2,1.0,8.0
04.12.2022,13:30,СПбГУТ,3.0,1.0
11.12.2022,10:00,Бутса,4.0,5.0
18.12.2022,13:30,СШОР №2 - Кристалл,1.0,5.0
25.12.2022,10:00,СШОР Лидер,0.0,13.0
15.01.2023,12:20,Царское Село,4.0,2.0
22.01.2023,11:10,СШОР №2 - Кристалл -2,1.0,4.0
29.01.2023,14:40,Форсаж,2.0,3.0
05.02.2023,14:40,Локомотив-ИТМО,0.0,5.0
12.02.2023,13:30,СШОР Лидер - 2,0.0,5.0
19.02.2023,10:00,СПбГУТ,2.0,2.0
26.02.2023,14:40,Бутса,2.0,6.0
05.03.2023,13:30,СШОР №2 - Кристалл,0.0,6.0
19.03.2023,11:10,Царское Село,3.0,0.0
25.03.2023,12:50,СШОР Лидер,2.0,4.0
26.03.2023,11:10,СШОР №2 - Кристалл -2,4.0,5.0
02.04.2023,14:40,Форсаж,1.0,5.0
16.10.2022,18:30,Универсал,1.0,4.0
22.10.2022,12:30,Невская Ко-2,2.0,5.0
23.10.2022,18:00,Нейтрон,2.0,5.0
13.10.2023,18:00,СПбГУ,0.0,4.0
20.10.2023,17:00,БГТУ ВОЕНМЕХ,0.0,1.0
27.10.2023,22:00,СПбГУТ,2.0,1.0
03.11.2023,20:40,Малоохтинский колледж,1.0,4.0
10.11.2023,17:10,Университет ИТМО,1.0,0.0
24.11.2023,21:20,Горный университет,9.0,0.0
08.12.2023,20:10,РГПУ им. Герцена,0.0,2.0
15.12.2023,17:10,СПбГЛТУ,7.0,0.0
22.12.2023,18:20,ЛГУ им. Пушкина,4.0,6.0
05.09.2020,18:00,Маштех,3.0,3.0
09.09.2020,18:00,Парус,1.0,1.0
12.09.2020,19:00,СТД Петрович,2.0,3.0
19.09.2020,15:30,ФК Звезда,0.0,1.0
20.09.2020,14:00,СШ №2 ВО Звезда,2.0,1.0
26.09.2020,14:00,Максима,0.0,2.0
30.09.2020,20:00,Царское Село,2.0,0.0
15.10.2020,20:45,Ядро,1.0,3.0
18.10.2020,14:00,Динамо,1.0,9.0
21.10.2020,20:45,Нева-Легирус,1.0,4.0
25.10.2020,14:00,Балтавто,2.0,1.0
30.10.2020,19:45,Царское Село,4.0,0.0
05.11.2020,18:00,Парус,1.0,2.0
12.11.2020,20:45,Балтавто,1.0,3.0
29.09.2018,18:00,СПбГАСУ,1.0,1.0
11.10.2018,13:00,НГУ им. П.Ф. Лесгафта,1.0,1.0
14.10.2018,15:00,СПбГУПТД,2.0,1.0
20.10.2018,16:00,ГУМРФ,3.0,0.0
27.10.2018,12:00,СПбГЭУ,8.0,0.0
03.11.2018,16:00,СПбГУ,4.0,0.0
11.11.2018,13:00,СПбГЛТУ,2.0,2.0
13.09.2023,13:00,Университет ИТМО,7.0,0.0
19.09.2023,16:00,СПбГЛТУ,5.0,2.0
26.09.2023,16:00,НГУ им. П.Ф. Лесгафта,3.0,0.0
09.10.2023,14:45,РГПУ им. А.И.Герцена,8.0,0.0
12.10.2023,13:45,НГУ им. П.Ф. Лесгафта,3.0,1.0
18.10.2023,14:30,Горный университет,2.0,0.0
18.09.2019,12:00,ГУМРФ,2.0,0.0
23.09.2019,12:00,СПбГЭУ,7.0,2.0
02.10.2019,13:00,ПГУПС,10.0,0.0
16.10.2019,13:00,СПбГУПТД,0.0,3.0
23.10.2019,13:00,НГУ им. Лесгафта,2.0,1.0
06.11.2019,14:00,СПбГУ,2.0,0.0
08.11.2022,13:30,Университет ИТМО,4.0,3.0
15.11.2022,12:00,СПбГЭУ,3.0,8.0
20.11.2022,19:30,СПб Университет ГПС МЧС России,2.0,3.0
23.11.2022,11:00,ЛГУ им. А.С.Пушкина,6.0,9.0
28.11.2022,10:35,НГУ им. П.Ф. Лесгафта,5.0,5.0
07.12.2022,12:30,Горный университет,1.0,3.0
13.12.2022,13:30,"СПбГЭТУ ""ЛЭТИ""",2.0,3.0
21.12.2022,11:00,СПбГУАП,7.0,4.0
28.12.2022,14:00,СПбГУПТД,0.0,9.0
08.02.2023,14:00,Университет ИТМО,2.0,5.0
15.02.2023,11:00,СПбГЭУ,3.0,8.0
20.02.2023,10:30,СПб Университет ГПС МЧС России,1.0,6.0
01.03.2023,11:00,ЛГУ им. А.С.Пушкина,4.0,6.0
08.03.2023,11:00,НГУ им. П.Ф. Лесгафта,9.0,7.0
17.03.2023,12:30,Горный университет,2.0,4.0
21.03.2023,12:00,"СПбГЭТУ ""ЛЭТИ""",3.0,1.0
29.03.2023,12:30,СПбГУАП,5.0,1.0
04.04.2023,13:30,СПбГУПТД,0.0,4.0
12.12.2019,11:00,САФУ,3.0,4.0
26.12.2019,20:00,Университет ИТМО,4.0,9.0
16.01.2020,20:00,ПГУПС,16.0,5.0
23.01.2020,20:00,СПбГУПТД,3.0,5.0
30.01.2020,21:30,Горный университет,4.0,6.0
20.02.2020,20:00,Университет ИТМО,2.0,7.0
27.02.2020,20:30,Горный университет,5.0,5.0
12.03.2020,20:30,СПбГУПТД,0.0,2.0
23.05.2023,21:00,СПбГЛТУ,8.0,0.0
02.06.2023,19:50,Университет ИТМО,4.0,0.0
06.06.2023,18:30,СПбГУ,1.0,1.0
09.06.2023,21:20,БГТУ ВОЕНМЕХ,1.0,3.0
13.06.2023,18:30,СПбГУТ,3.0,0.0
16.06.2023,20:00,Горный университет,5.0,2.0
23.06.2023,20:00,РГПУ им. Герцена,1.0,2.0
29.09.2024,15:15,СШОР №2 Невского района- Кристалл,1.0,4.0
06.10.2024,16:30,Футболика,0.0,3.0
13.10.2024,14:00,Бутса,0.0,10.0
20.10.2024,13:20,СПбГУТ,2.0,0.0
27.10.2024,13:20,Футболика,3.0,2.0
08.12.2019,14:00,Московская Застава-Д,4.0,0.0
15.12.2019,17:00,ФК Звезда,1.0,3.0
22.12.2019,14:00,СШ Петроградского района - Динамо U-17,5.0,2.0
29.12.2019,15:30,Феникс,4.0,1.0
12.01.2020,14:30,Алмаз-Антей U-21,1.0,1.0
19.01.2020,14:30,Коломяги (ШИ №357),1.0,0.0
26.01.2020,10:00,СШ №2 ВО Звезда-Д,2.0,2.0
01.02.2020,11:00,Московская Застава,0.0,1.0
16.02.2020,16:00,С.П.Б. К.Л.С.,1.0,2.0
29.02.2020,20:00,Балтавто,3.0,1.0
08.03.2020,14:30,ФК Звезда,2.0,0.0
27.05.2023,21:00,Легирус-Нева,2.0,1.0
03.06.2023,16:00,С.П.Б. К.Л.С.,0.0,0.0
09.06.2023,20:45,Гидроэр,0.0,0.0
17.06.2023,16:00,ФК Константиновское-д,3.0,2.0
24.06.2023,17:00,Победа - АРМЕД,11.0,1.0
01.07.2023,16:00,Максима-Нева-д,3.0,2.0
08.07.2023,20:00,Самсон,4.0,3.0
14.07.2023,20:30,Дружба,4.0,0.0
22.07.2023,16:00,ВЕЗУ,2.0,2.0
18.08.2023,19:30,Авангард-д,0.0,4.0
26.08.2023,16:00,Царское Село,3.0,1.0
01.09.2023,19:15,СШ Петроградского района - Динамо,2.0,2.0
03.09.2023,19:00,РВЧеллендж,4.0,1.0
09.09.2023,19:00,С.П.Б. К.Л.С.,0.0,4.0
16.09.2023,16:00,РВЧеллендж,1.0,2.0
23.09.2023,20:30,Авангард-д,5.0,5.0
14.10.2023,16:00,Легирус-Нева,2.0,1.0
17.10.2023,19:00,ВЕЗУ,0.0,3.0
21.10.2023,21:00,Самсон,4.0,2.0
01.12.2018,10:00,ФК КФ,0.0,3.0
09.12.2018,14:30,Победа-АРМЕД,6.0,2.0
16.12.2018,13:00,Алгоритм,1.0,5.0
23.12.2018,13:00,СШ №2 ВО Звезда U-21-1,1.0,2.0
12.01.2019,13:00,Московская Застава U-21,3.0,3.0
20.01.2019,14:30,СШОР Зенит U-17,0.0,0.0
27.01.2019,11:30,ФК Звезда,1.0,5.0
02.02.2019,10:00,Ленинград,6.0,0.0
09.02.2019,11:30,Выборжанин-Город U-21,1.0,0.0
16.02.2019,13:00,Победа-АРМЕД,4.0,0.0
24.02.2019,10:00,СШОР Зенит U-17,0.0,1.0
10.11.2024,10:40,АСГАРД,1.0,2.0
17.11.2024,14:40,Форсаж-ГУТ,0.0,2.0
14.10.2022,18:10,СПбГЛТУ,4.0,0.0
21.10.2022,17:00,ЛГУ им. А.С.Пушкина,1.0,6.0
28.10.2022,18:10,Горный университет,14.0,2.0
05.11.2022,10:00,Малоохтинский колледж,0.0,1.0
18.11.2022,20:30,СПбГУТ,1.0,3.0
25.11.2022,18:10,Университет ИТМО,6.0,1.0
02.12.2022,21:40,"БГТУ ""ВОЕНМЕХ""",0.0,2.0
09.12.2022,21:40,СПбГУ,1.0,3.0
16.12.2022,21:40,РГПУ им. А.И.Герцена,1.0,3.0
23.09.2022,15:00,СПбГУ,6.0,0.0
30.09.2022,15:00,"БГТУ ""ВОЕНМЕХ""",2.0,1.0
03.10.2022,16:45,Горный университет,7.0,2.0
11.10.2022,15:00,СПбГУПТД,2.0,4.0
24.05.2021,14:00,ГУМРФ,2.0,1.0
31.05.2021,16:00,СПбГУПТД,0.0,4.0
10.06.2021,15:30,Горный университет,3.0,2.0
14.06.2021,17:30,НГУ им. П.Ф. Лесгафта,1.0,1.0
21.06.2021,17:30,Университет ИТМО,4.0,1.0
18.02.2020,19:00,ГУМРФ,4.0,4.0
25.02.2020,17:30,СПбГУ,12.0,5.0
04.03.2020,18:00,Университет ИТМО,4.0,4.0
10.03.2020,17:30,СПбГУПТД,0.0,0.0
14.09.2021,19:00,Горный университет,3.0,0.0
25.09.2021,16:45,СПбГУТ,3.0,1.0
28.09.2021,19:00,СПбГУПТД,1.0,3.0
09.10.2021,15:00,НГУ им. П.Ф. Лесгафта,1.0,5.0
17.05.2022,17:00,СЗИУ РАНХиГС,5.0,1.0
24.05.2022,18:15,СПбГЛТУ,5.0,0.0
28.05.2022,10:00,Горный университет,3.0,0.0
31.05.2022,18:15,БГТУ Военмех,2.0,4.0
07.06.2022,18:15,СПбГУ,0.0,8.0
14.06.2022,18:15,СПбГУТ,1.0,4.0
21.06.2022,18:15,РГПУ им. Герцена,0.0,3.0
23.05.2023,14:45,НГУ им. Лесгафта,2.0,2.0
06.06.2023,15:00,БГТУ ВОЕНМЕХ,4.0,1.0
13.06.2023,16:45,Горный университет,6.0,0.0
18.06.2023,19:00,СПбГУПТД,1.0,2.0
22.06.2023,15:45,РГПУ им. Герцена,2.0,3.0
04.10.2018,18:30,СПбГУГА,4.0,4.0
08.10.2018,18:30,ПСПбГМУ,5.0,0.0
15.10.2018,18:30,СПбГАСУ,0.0,5.0
25.10.2018,18:30,СЗИУ РАНХиГС,3.0,10.0
29.10.2018,18:30,СПбГУПТД,5.0,0.0
05.11.2018,18:30,НИУ ВШЭ,4.0,5.0
14.11.2018,20:00,СПбГАУ,1.0,4.0
19.11.2018,18:30,СПбГТИ (ТУ),8.0,1.0
30.11.2018,20:30,СПбГЭТУ ЛЭТИ,2.0,4.0
